NCA1,NCA2,Macro_Desastre
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-89778.70379288752,12549.56039590835,Tempestades Severas
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-134297.71640442373,11472.256135332756,Seca e Estiagem
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-144904.92120004748,5608.065678257914,Seca e Estiagem
-109611.41059399511,11740.943008211803,Tempestades Severas
-62607.9406778077,12361.675069842586,Inundações e Chuvas
910914.4060613426,-60057.79775070029,Tempestades Severas
-412762.17782181007,-70867.77541458575,Seca e Estiagem
410047.88639753585,-60158.81852260963,Inundações e Chuvas
-90776.82712684564,29078.79483140712,Inundações e Chuvas
-112434.31990550786,9890.171615380912,Tempestades Severas
-127590.03902903557,13735.882100592715,Deslizamentos
-150666.8254251552,-3555.97124238562,Inundações e Chuvas
-178877.8928030672,-12289.134397812928,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Inundações e Chuvas
1436447.3537560464,69761.68482157,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-115862.53748188175,36609.306700149566,Seca e Estiagem
-129256.64520747968,12924.119142415258,Seca e Estiagem
-133894.62404699728,11556.964133943293,Seca e Estiagem
-136454.63489975908,11985.817042385499,Seca e Estiagem
-129533.66616794583,12833.314116123156,Seca e Estiagem
-3228474.3948115357,-1387657.0075175832,Seca e Estiagem
-137485.50461800068,10510.958544357918,Seca e Estiagem
-79062.10360165178,35267.92191478088,Inundações e Chuvas
-151722.9312440197,10060.106908819444,Seca e Estiagem
-128253.59950405508,13046.842531782673,Incêndios Florestais
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-127558.41945889991,12892.204477948128,Inundações e Chuvas
-124525.16172204309,12785.6626270685,Tempestades Severas
-131443.94843352266,12656.500962547894,Seca e Estiagem
-86555.17346387228,12278.358823947274,Inundações e Chuvas
-134297.71640442373,11472.256135332756,Seca e Estiagem
-409479.55867924594,-51472.54317365685,Seca e Estiagem
-67576.85003939817,455.99301573839847,Inundações e Chuvas
-135993.08961790855,10907.022487411408,Seca e Estiagem
1089300.0964632719,-120385.9791444103,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-126394.48517133624,12915.62803291481,Tempestades Severas
-137766.15373481024,9728.649079090344,Seca e Estiagem
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-163079.81478175448,-5968.293864813523,Inundações e Chuvas
-133856.6526089911,12322.889677439773,Seca e Estiagem
-470501.4861703769,-136370.42637778143,Seca e Estiagem
113031.30416703307,-4358.523463171163,Tempestades Severas
-128253.59950405508,13046.842531782673,Incêndios Florestais
-335034.5472303847,-77502.54810332067,Seca e Estiagem
-118207.55955651887,7503.184015462403,Inundações e Chuvas
-138775.87402381934,9358.823357122403,Seca e Estiagem
-128253.59950405508,13046.842531782673,Seca e Estiagem
-211127.64424387898,-14704.988364140314,Seca e Estiagem
-121881.68946302871,13575.00523573853,Inundações e Chuvas
-128381.2134612338,13031.228869013281,Incêndios Florestais
-145395.2792356599,5048.161973036152,Seca e Estiagem
-128253.59950405508,13046.842531782673,Seca e Estiagem
-166199.66029778976,-4356.401601780934,Seca e Estiagem
3354933.311521701,-548295.7330184614,Inundações e Chuvas
-108942.49403749341,8320.423464105987,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Incêndios Florestais
-328360.1925900219,-33132.10451153999,Seca e Estiagem
-147770.57314835352,6303.197233771313,Seca e Estiagem
-330273.8078010245,-84415.98173822393,Seca e Estiagem
-15509.985552705177,-1431.4015009907655,Inundações e Chuvas
239323.37030051692,31252.309588919357,Inundações e Chuvas
-188364.97354228987,-13053.829708999898,Seca e Estiagem
-136994.0455721466,11728.260929682014,Seca e Estiagem
-128253.59950405508,13046.842531782673,Incêndios Florestais
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-156510.03751438134,367.2371090360354,Seca e Estiagem
-135936.9658314846,19392.27328368097,Seca e Estiagem
-148561.34981678452,-1559.0652488215462,Seca e Estiagem
-161872.75477987542,3416.160443693848,Seca e Estiagem
-238064.41987069958,-22923.888458084675,Seca e Estiagem
-227422.07940325985,-13320.98101837619,Seca e Estiagem
-274076.0192255721,125044.98695254565,Seca e Estiagem
-131741.73710408696,14586.78227910495,Inundações e Chuvas
-41405.420678631206,-5516.803621271976,Inundações e Chuvas
2210036.6604507966,-1410232.6820678404,Inundações e Chuvas
315482.1274286987,-169020.0333607416,Inundações e Chuvas
-316917.4363920472,-80642.00308531923,Seca e Estiagem
-252074.86036076653,-39124.59331227706,Seca e Estiagem
-128707.90519161127,12991.25789232364,Inundações e Chuvas
-70992.92494188275,10068.791488006835,Incêndios Florestais
-165800.89915575815,-748.1879190866124,Seca e Estiagem
744252.9898486458,248148.68752946434,Tempestades Severas
-172151.68446189564,-3498.654122969114,Seca e Estiagem
-783194.5108034856,-218710.90138412936,Seca e Estiagem
-99552.115326544,33531.27750326067,Tempestades Severas
-198204.66716152045,161784.63391889975,Seca e Estiagem
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Tempestades Severas
-128253.59950405508,13046.842531782673,Seca e Estiagem
