T-SNE1,T-SNE2,Macro_Desastre
-56.763847,-12.863577,Seca e Estiagem
-48.70128,-7.9839177,Seca e Estiagem
-4.0235596,-20.904772,Inundações e Chuvas
9.198712,42.36279,Incêndios Florestais
-36.200493,-3.2110827,Seca e Estiagem
38.38583,34.11403,Tempestades Severas
-32.40828,12.182939,Seca e Estiagem
-60.44705,3.7602954,Seca e Estiagem
33.95113,22.481758,Tempestades Severas
-20.727707,-1.2838155,Seca e Estiagem
21.146847,-28.374863,Inundações e Chuvas
21.146847,-28.374863,Tempestades Severas
21.146847,-28.374863,Seca e Estiagem
21.146847,-28.374863,Inundações e Chuvas
43.64722,12.827848,Inundações e Chuvas
-22.257929,-6.3381343,Seca e Estiagem
32.881664,30.66835,Inundações e Chuvas
-9.68563,-18.36371,Seca e Estiagem
21.146847,-28.374863,Seca e Estiagem
21.146847,-28.374863,Seca e Estiagem
21.146847,-28.374863,Incêndios Florestais
-13.044025,9.921817,Seca e Estiagem
21.146847,-28.374863,Incêndios Florestais
-34.77319,25.683794,Seca e Estiagem
-30.3174,-3.9326534,Seca e Estiagem
21.146847,-28.374863,Incêndios Florestais
21.146847,-28.374863,Inundações e Chuvas
21.146847,-28.374863,Incêndios Florestais
21.146847,-28.374863,Incêndios Florestais
-58.50715,-13.954207,Seca e Estiagem
51.75959,-4.7467513,Tempestades Severas
12.646719,-21.62872,Inundações e Chuvas
-21.97168,4.8688416,Seca e Estiagem
-23.963305,-8.7118845,Seca e Estiagem
-16.320972,4.203308,Seca e Estiagem
28.510225,16.01961,Seca e Estiagem
-8.443703,-3.17541,Tempestades Severas
-44.827644,1.7895463,Seca e Estiagem
-37.274677,8.527749,Seca e Estiagem
10.001436,20.422802,Inundações e Chuvas
21.146847,-28.374863,Inundações e Chuvas
-35.969917,26.54641,Inundações e Chuvas
-28.916027,-4.3528004,Seca e Estiagem
21.146847,-28.374863,Incêndios Florestais
21.146847,-28.374863,Inundações e Chuvas
-1.4361845,-21.992832,Inundações e Chuvas
28.73944,1.4662987,Inundações e Chuvas
33.159473,30.327429,Tempestades Severas
48.72364,8.095351,Inundações e Chuvas
-66.734436,-31.740866,Seca e Estiagem
-66.90703,-27.938232,Seca e Estiagem
21.146847,-28.374863,Deslizamentos
-65.905266,-23.163988,Seca e Estiagem
-9.616463,4.2882667,Seca e Estiagem
-9.391886,-3.0261226,Seca e Estiagem
34.70522,5.5141234,Tempestades Severas
3.8981113,6.8064747,Inundações e Chuvas
-11.275584,-12.437297,Seca e Estiagem
21.146847,-28.374863,Incêndios Florestais
47.190678,8.884127,Tempestades Severas
17.408073,-5.744672,Inundações e Chuvas
45.30175,27.61579,Inundações e Chuvas
21.146847,-28.374863,Inundações e Chuvas
11.913841,17.41198,Inundações e Chuvas
19.573753,33.954773,Inundações e Chuvas
21.146847,-28.374863,Seca e Estiagem
-32.14857,-2.3347085,Seca e Estiagem
13.148061,-11.874215,Inundações e Chuvas
-29.301157,6.5368266,Seca e Estiagem
-44.875984,5.072401,Seca e Estiagem
19.13654,-16.563215,Inundações e Chuvas
33.607296,22.490278,Inundações e Chuvas
41.89444,32.135807,Tempestades Severas
-23.50697,-12.614859,Seca e Estiagem
37.255337,-5.823475,Inundações e Chuvas
34.357227,22.502188,Inundações e Chuvas
-10.501361,3.682147,Seca e Estiagem
-27.753271,-2.2363522,Seca e Estiagem
-21.51246,-9.682816,Seca e Estiagem
30.024822,2.2482657,Inundações e Chuvas
-60.713867,-13.993252,Seca e Estiagem
12.180418,4.8634953,Inundações e Chuvas
-23.434895,40.677,Seca e Estiagem
-11.803225,5.2350507,Seca e Estiagem
21.146847,-28.374863,Deslizamentos
10.157807,24.807348,Inundações e Chuvas
-53.802525,5.4360766,Seca e Estiagem
-21.411839,21.531515,Seca e Estiagem
-38.20567,-9.683372,Seca e Estiagem
-15.464093,15.19301,Seca e Estiagem
-53.03458,-10.77348,Seca e Estiagem
-29.468035,9.608495,Seca e Estiagem
35.003704,36.422977,Inundações e Chuvas
11.301477,7.6429853,Inundações e Chuvas
-17.710543,-5.913627,Seca e Estiagem
21.146847,-28.374863,Inundações e Chuvas
-55.815166,-9.932113,Seca e Estiagem
5.560255,-22.064528,Seca e Estiagem
21.146847,-28.374863,Inundações e Chuvas
-34.68304,-8.508948,Seca e Estiagem
-52.920235,3.0516744,Seca e Estiagem
11.866758,17.097187,Inundações e Chuvas
-24.241562,38.394463,Seca e Estiagem
21.146847,-28.374863,Inundações e Chuvas
-51.43785,4.004044,Seca e Estiagem
-0.7044665,37.89595,Incêndios Florestais
34.624718,20.530436,Inundações e Chuvas
29.657822,-5.878081,Inundações e Chuvas
11.475499,12.544026,Tempestades Severas
21.146847,-28.374863,Inundações e Chuvas
38.433895,-2.6423514,Tempestades Severas
21.391773,1.7319994,Inundações e Chuvas
-16.20304,22.1784,Inundações e Chuvas
-34.9014,-7.6217866,Seca e Estiagem
